order_id,order_date,ship_mode,segment,country,city,state,region,category,sub_category,product_id,cost_price,sale_price,quantity,discount_percent,year,month,cost,sales,profit
1,2023-03-01,Second Class,Consumer,United States,Henderson,Kentucky,South,Furniture,Bookcases,FUR-BO-10001798,240,260,2,2,2023,3,480,509.59999999999997,29.599999999999966
2,2023-08-15,Second Class,Consumer,United States,Henderson,Kentucky,South,Furniture,Chairs,FUR-CH-10000454,600,730,3,3,2023,8,1800,2124.2999999999997,324.2999999999997
3,2023-01-10,Second Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,OFF-LA-10000240,10,10,2,5,2023,1,20,19.0,-1.0
4,2022-06-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,Furniture,Tables,FUR-TA-10000577,780,960,5,2,2022,6,3900,4704.0,804.0
5,2022-07-13,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,Storage,OFF-ST-10000760,20,20,2,5,2022,7,40,38.0,-2.0
6,2022-03-13,unknown,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,FUR-FU-10001487,50,50,7,3,2022,3,350,339.5,-10.5
7,2022-12-28,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,OFF-AR-10002833,10,10,4,3,2022,12,40,38.8,-1.2000000000000028
8,2022-01-25,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,TEC-PH-10002275,860,910,6,5,2022,1,5160,5187.0,27.0
9,2023-03-23,unknown,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,OFF-BI-10003910,20,20,3,2,2023,3,60,58.8,-1.2000000000000028
10,2023-05-16,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Appliances,OFF-AP-10002892,90,110,5,3,2023,5,450,533.5,83.5
11,2023-03-31,unknown,Consumer,United States,Los Angeles,California,West,Furniture,Tables,FUR-TA-10001539,1470,1710,9,3,2023,3,13230,14928.3,1698.2999999999993
12,2023-12-25,unknown,Consumer,United States,Los Angeles,California,West,Technology,Phones,TEC-PH-10002033,750,910,4,3,2023,12,3000,3530.7999999999997,530.7999999999997
13,2022-02-11,Standard Class,Consumer,United States,Concord,North Carolina,South,Office Supplies,Paper,OFF-PA-10002365,20,20,3,3,2022,2,60,58.199999999999996,-1.8000000000000043
14,2023-07-18,Standard Class,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,OFF-BI-10003656,360,410,3,2,2023,7,1080,1205.4,125.40000000000009
15,2023-11-09,unknown,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Appliances,OFF-AP-10002311,60,70,5,5,2023,11,300,332.5,32.5
16,2022-06-18,Standard Class,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Binders,OFF-BI-10000756,0,0,3,5,2022,6,0,0.0,0.0
17,2022-02-04,Standard Class,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,Storage,OFF-ST-10004186,610,670,6,3,2022,2,3660,3899.4,239.4000000000001
18,2023-08-04,Second Class,Consumer,United States,West Jordan,Utah,West,Office Supplies,Storage,OFF-ST-10000107,60,60,2,4,2023,8,120,115.19999999999999,-4.800000000000011
19,2022-01-23,Second Class,Consumer,United States,San Francisco,California,West,Office Supplies,Art,OFF-AR-10003056,10,10,2,4,2022,1,20,19.2,-0.8000000000000007
20,2022-01-11,Second Class,Consumer,United States,San Francisco,California,West,Technology,Phones,TEC-PH-10001949,170,210,3,3,2022,1,510,611.1,101.10000000000002
21,2022-10-05,Second Class,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,OFF-BI-10002215,20,20,4,2,2022,10,80,78.4,-1.5999999999999943
22,2023-07-16,Standard Class,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Art,OFF-AR-10000246,20,20,7,4,2023,7,140,134.4,-5.599999999999994
23,2023-05-06,Standard Class,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Appliances,OFF-AP-10001492,50,60,7,3,2023,5,350,407.4,57.39999999999998
24,2023-05-21,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Chairs,FUR-CH-10002774,60,70,2,4,2023,5,120,134.4,14.400000000000006
25,2023-02-24,Standard Class,Consumer,United States,Orem,Utah,West,Furniture,Tables,FUR-TA-10000577,900,1040,3,5,2023,2,2700,2964.0,264.0
26,2022-06-20,Second Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,OFF-BI-10001634,10,10,2,5,2022,6,20,19.0,-1.0
27,2022-02-08,Second Class,Consumer,United States,Los Angeles,California,West,Technology,Accessories,TEC-AC-10003027,80,90,3,3,2022,2,240,261.9,21.899999999999977
28,2023-12-11,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Bookcases,FUR-BO-10004834,2740,3080,7,3,2023,12,19180,20913.2,1733.2000000000007
29,2022-08-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,OFF-BI-10000474,10,10,2,5,2022,8,20,19.0,-1.0
30,2022-08-14,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,FUR-FU-10004848,100,120,3,4,2022,8,300,345.59999999999997,45.599999999999966
31,2022-11-20,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,OFF-EN-10001509,0,0,2,5,2022,11,0,0.0,0.0
32,2023-01-19,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,OFF-AR-10004042,70,90,6,4,2023,1,420,518.4,98.39999999999998
33,2023-01-30,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,OFF-BI-10001525,10,10,6,5,2023,1,60,57.0,-3.0
34,2022-06-03,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,OFF-AR-10001683,20,20,2,4,2022,6,40,38.4,-1.6000000000000014
35,2022-09-28,Second Class,Home Office,United States,Houston,Texas,Central,Office Supplies,Paper,OFF-PA-10000249,30,30,3,3,2022,9,90,87.3,-2.700000000000003
36,2022-10-30,First Class,Corporate,United States,Richardson,Texas,Central,Technology,Phones,TEC-PH-10004977,1020,1100,7,5,2022,10,7140,7315.0,175.0
37,2023-07-27,First Class,Corporate,United States,Richardson,Texas,Central,Furniture,Furnishings,FUR-FU-10003664,180,190,5,4,2023,7,900,912.0,12.0
38,2023-03-07,Standard Class,Home Office,United States,Houston,Texas,Central,Office Supplies,Envelopes,OFF-EN-10002986,90,110,9,2,2023,3,810,970.1999999999999,160.19999999999993
39,2023-08-18,Standard Class,Home Office,United States,Houston,Texas,Central,Furniture,Bookcases,FUR-BO-10002545,460,530,3,2,2023,8,1380,1558.2,178.20000000000005
40,2022-01-20,Standard Class,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,FUR-CH-10004218,200,210,3,2,2022,1,600,617.4,17.399999999999977
41,2023-06-29,Standard Class,Home Office,United States,Houston,Texas,Central,Technology,Phones,TEC-PH-10000486,350,370,4,5,2023,6,1400,1406.0,6.0
42,2022-06-28,Standard Class,Corporate,United States,Naperville,Illinois,Central,Technology,Phones,TEC-PH-10004093,140,150,4,3,2022,6,560,582.0,22.0
43,2023-02-09,Standard Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Storage,OFF-ST-10003479,70,80,2,5,2023,2,140,152.0,12.0
44,2023-09-18,Standard Class,Corporate,United States,Melbourne,Florida,South,Office Supplies,Storage,OFF-ST-10003282,90,100,2,4,2023,9,180,192.0,12.0
45,2022-11-11,First Class,Corporate,United States,Eagan,Minnesota,Central,Technology,Accessories,TEC-AC-10000171,40,50,2,2,2022,11,80,98.0,18.0
46,2022-05-27,First Class,Corporate,United States,Eagan,Minnesota,Central,Office Supplies,Binders,OFF-BI-10003291,20,20,2,5,2022,5,40,38.0,-2.0
47,2023-02-03,Second Class,Consumer,United States,Westland,Michigan,Central,Office Supplies,Storage,OFF-ST-10001713,180,210,4,4,2023,2,720,806.4,86.39999999999998
48,2022-02-16,Standard Class,Consumer,United States,Dover,Delaware,East,Technology,Accessories,TEC-AC-10002167,50,50,3,5,2022,2,150,142.5,-7.5
49,2022-05-06,Standard Class,Consumer,United States,Dover,Delaware,East,Technology,Phones,TEC-PH-10003988,20,20,2,4,2022,5,40,38.4,-1.6000000000000014
50,2023-06-18,Standard Class,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Binders,OFF-BI-10004410,30,40,6,4,2023,6,180,230.39999999999998,50.39999999999998
51,2022-01-11,Standard Class,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Labels,OFF-LA-10002762,70,80,6,4,2022,1,420,460.79999999999995,40.799999999999955
52,2023-09-09,Standard Class,Consumer,United States,New Albany,Indiana,Central,Furniture,Furnishings,FUR-FU-10001706,10,10,2,4,2023,9,20,19.2,-0.8000000000000007
53,2022-01-31,Standard Class,Consumer,United States,New Albany,Indiana,Central,Furniture,Chairs,FUR-CH-10003061,70,90,1,5,2022,1,70,85.5,15.5
54,2023-07-30,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Fasteners,OFF-FA-10000304,20,20,7,3,2023,7,140,135.79999999999998,-4.200000000000017
55,2023-10-17,Standard Class,Corporate,United States,New York City,New York,East,Technology,Phones,TEC-PH-10002447,850,1030,5,4,2023,10,4250,4944.0,694.0
56,2023-07-06,First Class,Consumer,United States,Troy,New York,East,Office Supplies,Storage,OFF-ST-10000604,200,210,6,5,2023,7,1200,1197.0,-3.0
57,2023-09-15,First Class,Consumer,United States,Troy,New York,East,Office Supplies,Paper,OFF-PA-10001569,30,30,5,5,2023,9,150,142.5,-7.5
58,2022-08-09,First Class,Consumer,United States,Troy,New York,East,Furniture,Chairs,FUR-CH-10003968,290,320,5,2,2022,8,1450,1568.0,118.0
59,2022-04-05,First Class,Consumer,United States,Troy,New York,East,Office Supplies,Paper,OFF-PA-10000587,10,10,2,4,2022,4,20,19.2,-0.8000000000000007
60,2023-06-24,First Class,Consumer,United States,Troy,New York,East,Technology,Accessories,TEC-AC-10002167,20,30,2,5,2023,6,40,57.0,17.0
61,2022-03-10,First Class,Consumer,United States,Troy,New York,East,Office Supplies,Binders,OFF-BI-10001460,40,50,4,2,2022,3,160,196.0,36.0
62,2023-04-08,First Class,Consumer,United States,Troy,New York,East,Office Supplies,Art,OFF-AR-10001868,0,0,1,5,2023,4,0,0.0,0.0
63,2023-10-16,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Accessories,TEC-AC-10004633,10,10,2,3,2023,10,20,19.4,-0.6000000000000014
64,2023-08-02,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,OFF-BI-10001078,20,30,6,2,2023,8,120,176.4,56.400000000000006
65,2022-11-05,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,OFF-PA-10003892,130,150,3,5,2022,11,390,427.5,37.5
66,2022-05-06,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,FUR-FU-10000397,70,80,4,2,2022,5,280,313.6,33.60000000000002
67,2022-03-26,Standard Class,Home Office,United States,Chicago,Illinois,Central,Furniture,Chairs,FUR-CH-10001146,180,210,5,5,2022,3,900,997.5,97.5
68,2022-04-10,Standard Class,Corporate,United States,Gilbert,Arizona,West,Office Supplies,Art,OFF-AR-10002671,940,1110,8,3,2022,4,7520,8613.6,1093.6000000000004
69,2022-08-12,Standard Class,Corporate,United States,Gilbert,Arizona,West,Technology,Phones,TEC-PH-10002726,160,170,4,3,2022,8,640,659.6,19.600000000000023
70,2022-02-25,First Class,Consumer,United States,Springfield,Virginia,South,Office Supplies,Paper,OFF-PA-10000482,70,80,2,2,2022,2,140,156.8,16.80000000000001
71,2022-11-29,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,OFF-BI-10004654,0,0,1,3,2022,11,0,0.0,0.0
